session,window_index,start_sec,expected_label,board_label,board_prob_0,board_prob_2,board_prob_4,board_prob_max,board_prob_argmax
MMdata_1136.50s_0327_183428_2ml,74,370.0,2,2,0.0005610012449324131,0.9957669973373413,0.0036720677744597197,0.9957669973373413,2
MMdata_1136.50s_0327_183428_2ml,75,375.0,2,2,0.0008227418293245137,0.9969310164451599,0.0022462361957877874,0.9969310164451599,2
MMdata_1136.50s_0327_183428_2ml,76,380.0,2,2,0.000733350811060518,0.9967063069343567,0.002560324501246214,0.9967063069343567,2
MMdata_1136.50s_0327_183428_2ml,77,385.0,2,2,0.0006661001825705171,0.996354341506958,0.002979571232572198,0.996354341506958,2
MMdata_1136.50s_0327_183428_2ml,78,390.0,2,2,0.0005702454363927245,0.9944063425064087,0.005023511126637459,0.9944063425064087,2
MMdata_1136.50s_0327_183428_2ml,79,395.0,2,2,0.0008148573688231409,0.9965169429779053,0.00266826874576509,0.9965169429779053,2
MMdata_1136.50s_0327_183428_2ml,80,400.0,2,2,0.0008861368405632675,0.9958588480949402,0.0032551109325140715,0.9958588480949402,2
MMdata_1136.50s_0327_183428_2ml,81,405.0,2,2,0.0006744498386979103,0.9947984218597412,0.004527117591351271,0.9947984218597412,2
MMdata_1136.50s_0327_183428_2ml,82,410.0,2,2,0.000566990056540817,0.994310736656189,0.005122350063174963,0.994310736656189,2
MMdata_1136.50s_0327_183428_2ml,83,415.0,2,2,0.000832266581710428,0.9955500364303589,0.003617677604779601,0.9955500364303589,2
MMdata_1136.50s_0327_183428_2ml,84,420.0,2,2,0.000794394756667316,0.9962917566299438,0.002913790987804532,0.9962917566299438,2
MMdata_1136.50s_0327_183428_2ml,85,425.0,2,2,0.0006969913956709206,0.9963059425354004,0.002997078001499176,0.9963059425354004,2
MMdata_1136.50s_0327_183428_2ml,86,430.0,2,2,0.0005636658752337098,0.9958198070526123,0.003616582602262497,0.9958198070526123,2
MMdata_1136.50s_0327_183428_2ml,87,435.0,2,2,0.0007503096712753177,0.9937301874160767,0.005519533064216375,0.9937301874160767,2
MMdata_1136.50s_0327_183428_2ml,88,440.0,2,2,0.0007127059507183731,0.996796190738678,0.002491121646016836,0.996796190738678,2
MMdata_1136.50s_0327_183428_2ml,89,445.0,2,2,0.0006693659815937281,0.9957587122917175,0.003571889828890562,0.9957587122917175,2
MMdata_1136.50s_0327_183428_2ml,90,450.0,2,2,0.0005624048062600195,0.9950390458106995,0.004398619756102562,0.9950390458106995,2
MMdata_1136.50s_0327_183428_2ml,91,455.0,2,2,0.0007884049555286765,0.9846077561378479,0.014603789895772934,0.9846077561378479,2
MMdata_1136.50s_0327_183428_2ml,92,460.0,2,2,0.000752301246393472,0.9965142607688904,0.0027334019541740417,0.9965142607688904,2
MMdata_1136.50s_0327_183428_2ml,93,465.0,2,2,0.0007229879847727716,0.9968270659446716,0.0024499560240656137,0.9968270659446716,2
MMdata_1136.50s_0327_183428_2ml,94,470.0,2,2,0.0005594369722530246,0.9954988360404968,0.003941767383366823,0.9954988360404968,2
MMdata_1136.50s_0327_183428_2ml,95,475.0,2,2,0.0006983564817346632,0.9941189289093018,0.005182674620300531,0.9941189289093018,2
MMdata_1136.50s_0327_183428_2ml,96,480.0,2,2,0.0007267692708410323,0.9964667558670044,0.0028064395301043987,0.9964667558670044,2
MMdata_1136.50s_0327_183428_2ml,97,485.0,2,2,0.0006994823343120515,0.9967628717422485,0.002537534339353442,0.9967628717422485,2
MMdata_1136.50s_0327_183428_2ml,98,490.0,2,2,0.0005632888642139733,0.9948810338973999,0.004555657040327787,0.9948810338973999,2
