session,window_index,start_sec,expected_label,pc_label,prediction_matches,pc_prob_0,pc_prob_2,pc_prob_4,pc_prob_max,pc_prob_argmax
MMdata_1136.50s_0327_183428_2ml,92,460.0,2,2,True,0.0007523022941313684,0.9965142607688904,0.002733394270762801,0.9965142607688904,2
MMdata_1136.50s_0327_183428_2ml,93,465.0,2,2,True,0.0007229804177768528,0.9968270659446716,0.002449995605275035,0.9968270659446716,2
MMdata_1136.50s_0327_183428_2ml,94,470.0,2,2,True,0.0005594369722530246,0.9954988360404968,0.003941728267818689,0.9954988360404968,2
MMdata_1136.50s_0327_183428_2ml,95,475.0,2,2,True,0.0006983551429584622,0.9941189289093018,0.005182662047445774,0.9941189289093018,2
MMdata_1136.50s_0327_183428_2ml,96,480.0,2,2,True,0.0007267685141414404,0.9964667558670044,0.0028064607176929712,0.9964667558670044,2
MMdata_1136.50s_0327_183428_2ml,97,485.0,2,2,True,0.000699480646289885,0.9967628717422485,0.0025375366676598787,0.9967628717422485,2
MMdata_1136.50s_0327_183428_2ml,98,490.0,2,2,True,0.0005632891552522779,0.9948810338973999,0.0045556314289569855,0.9948810338973999,2
MMdata_1136.50s_0327_183428_2ml,99,495.0,2,2,True,0.0007397739682346582,0.9931407570838928,0.006119420286267996,0.9931407570838928,2
MMdata_1136.50s_0327_183428_2ml,100,500.0,2,2,True,0.0007312391535378993,0.9970640540122986,0.002204734832048416,0.9970640540122986,2
MMdata_1136.50s_0327_183428_2ml,101,505.0,2,2,True,0.0006946423673070967,0.9954873919487,0.0038180167321115732,0.9954873919487,2
MMdata_1136.50s_0327_183428_2ml,102,510.0,2,2,True,0.0005720854387618601,0.9940927624702454,0.00533507252112031,0.9940927624702454,2
MMdata_1136.50s_0327_183428_2ml,103,515.0,2,2,True,0.0007866205996833742,0.9869901537895203,0.01222312729805708,0.9869901537895203,2
MMdata_1136.50s_0327_183428_2ml,104,520.0,2,2,True,0.0006729751476086676,0.9969209432601929,0.002406075829640031,0.9969209432601929,2
MMdata_1136.50s_0327_183428_2ml,105,525.0,2,2,True,0.0008449132437817752,0.9969045519828796,0.0022504294756799936,0.9969045519828796,2
MMdata_1136.50s_0327_183428_2ml,106,530.0,2,2,True,0.0005641408497467637,0.9947627186775208,0.004673164803534746,0.9947627186775208,2
MMdata_1136.50s_0327_183428_2ml,107,535.0,2,2,True,0.0009705265983939171,0.9833701848983765,0.01565932109951973,0.9833701848983765,2
